HTS CODE	DESCRIPTION	BASE DUTY RATE
	Gear boxes and other speed changers:	
	"Fixed ratio speed changers, multiple and variable ratio speed changers each ratio of which is selected by manual manipulation:"	
	Other:	
	Parts of bearing housings and plain shaft bearings:	
	Other:	
	Of under 18.65 W:	
	DC:	
	DC:	
	"Other DC motors; DC generators, other than photovoltaic generators:"	
	Motors:	
	Motors:	
	Other:	
	Motors:	
	"Other AC motors, multi-phase:"	
	"AC generators (alternators), other than photovoltaic generators:"	
	"Exceeding <il>750 kVA</il> but not exceeding <il>10,000 kVA</il>:"	
	Photovoltaic DC generators:	
	Generating sets with compression-ignition internal combustion piston engines (diesel or semi-diesel engines):	
	Other generating sets:	
	Stators and rotors for the goods of heading 8501:	
	Other:	
	Parts of generators:	
	Other:	
	Liquid dielectric transformers:	
	Other transformers:	
	Other:	
	Power supplies for automatic data processing machines or units thereof of heading 8471; power supplies for goods of subheading 8443.31 or 8443.32; power supplies for monitors of subheading 8528.42 or 8528.52 or projectors of subheading 8528.62:	
	Rectifiers and rectifying apparatus:	
	Power supplies:	
	Of power supplies for automatic data processing machines or units thereof of heading 8471; of power supplies for goods of subheading 8443.31 or 8443.32; of power supplies for monitors of subheading 8528.42 or 8528.52 or projectors of subheading 8528.62:	
	Other:	
	Printed circuit assemblies:	
	Ferrites:	
	Other parts:	
	Of transformers:	
	Permanent magnets and articles intended to become permanent magnets after magnetization:	
	12 V batteries:	
	Other:	
	With self-contained electric motor:	
	Humidifiers:	
	Other:	
	Parts of floor polishers:	
	Other:	
	Parts of shavers:	
	Parts of hair clippers:	
	Voltage and voltage-current regulators with cut-out relays:	
	Of voltage and voltage-current regulators with cut-out relays:	
	Of lighting equipment:	
	Resistance heated furnaces and ovens:	
	Microwave ovens:	
	Other furnaces and ovens:	
	Brazing or soldering machines and apparatus:	
	Machines and apparatus for resistance welding of metal:	
	Machines and apparatus for arc (including plasma arc) welding of metals:	
	Non-rotating type:	
	Electric space heating apparatus and electric soil heating apparatus:	
	Portable space heaters:	
	Electrothermic hairdressing or hand-drying apparatus:	
	Other:	
	Other:	
	Of a maximum width exceeding <il>70 centimeters:</il>	
	Other electrothermic appliances:	
	Coffee makers:	
	Parts for the microwave ovens of subheading 8516.50:	
	"Parts for the cooking stoves, ranges and ovens of subheading 8516.60.40:"	
	"Telephone sets, including smartphones and other telephones for cellular networks or for other wireless networks :"	
	"Other apparatus for transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network):"	
	Parts:	
	"Loudspeakers, whether or not mounted in their enclosures:"	
	Of line telephone handsets of subheading 8518.30.10; of repeaters of subheading 8518.40.10:	
	Other:	
	Other apparatus:	
	Sound reproducing only:	
	Cassette-type tape players:	
	"Record players, other than those operated by coins, banknotes, bank cards, tokens or by other means of payment:"	
	"Color, cartridge or cassette type:"	
	"Assemblies and subassemblies of articles provided for in subheading 8519.81.41, consisting of two or more pieces fastened or joined together:"	
	Parts of telephone answering machines:	
	Other:	
	Magnetic media:	
	Other:	
	Other magnetic tapes:	
	Of a width not exceeding <il>4 mm:</il>	
	Of a width exceeding 4 mm but not exceeding 6.5 mm:	
	Of a width exceeding 6.5 mm:	
	Optical media:	
	Other:	
	Semiconductor media:	
	Without drivers or controls circuits	
	Other:	
	Television:	
	Other:	
	Other:	
	Other:	
	"Television cameras, digital cameras and video camera recorders:"	
	Television cameras:	
	Other:	
	Radiobroadcast receivers capable of operating without an external source of power:	
	Other:	
	"Radiobroadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles:"	
	Radio-tape player combinations:	
	Other:	
	Other:	
	Cathode-ray tube monitors:	
	Color:	
	"Incomplete or unfinished (including assemblies consisting of the parts specified in subdivisions (a), (b), (c) and (e) in additional U.S. note 9 to this chapter plus a power supply), presented without a display device:"	
	"Non-high definition, having a single picture tube intended for direct viewing (non-projection type), with a video display diagonal not exceeding <il>35.56 cm</il>:"	
	Incorporating video recording or reproducing apparatus:	
	Other:	
	"Non-high definition, having a single picture tube intended for direct viewing (non-projection type), with a video display diagonal exceeding <il>35.56 cm</il>:"	
	"Non-high definition, projection type, with a cathode-ray tube:"	
	"High definition, non-projection type, with a cathode-ray tube:"	
	"High definition, projection type, with a cathode-ray tube:"	
	Other monitors:	
	Color:	
	"Incomplete or unfinished (including assemblies consisting of the parts specified in subdivisions (a), (b), (c) and (e) in additional U.S. note 9 to this chapter plus a power supply), presented without a display device:"	
	With a flat panel screen:	
	Incorporating video recording or reproducing apparatus:	
	Other:	
	Other:	
	Incorporating video recording or reproducing apparatus:	
	Other:	
	Projectors:	
	Color:	
	"Incomplete or unfinished (including assemblies consisting of the parts specified in subdivisions (a), (b), (c) and (e) in additional U.S. note 9 to this chapter plus a power supply), presented without a display device:"	
	"Non-high definition, with a cathode-ray tube:"	
	"High definition, with a cathode-ray tube:"	
	With a flat panel screen:	
	Incorporating video recording or reproducing apparatus:	
	Other:	
	Other:	
	"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus:"	
	Other:	
	Other:	
	"Incomplete or unfinished (including assemblies for television receivers consisting of all the parts specified in additional U.S. note 9 to this chapter plus a power supply), presented without a display device:"	
	"Non-high definition, having a single picture tube intended for direct viewing (non-projection type), with a video display diagonal not exceeding <il>35.56 cm</il>:"	
	Incorporating video recording or reproducing apparatus:	
	Other:	
	"Non-high definition, having a single picture tube intended for direct viewing (non-projection type), with a video display diagonal exceeding <il>35.56 cm</il>:"	
	"Non-high definition, projection type, with a cathode-ray tube:"	
	"High definition, non-projection type, with a cathode-ray tube:"	
	"High definition, projection type, with a cathode-ray tube:"	
	With a flat panel screen:	
	Incorporating video recording or reproducing apparatus:	
	With a video display diagonal:	
	Other:	
	"LCD-type (direct-view), with a video display diagonal:"	
	Other:	
	Incorporating video recording or reproducing apparatus:	
	Other:	
	Antennas:	
	Printed circuit assemblies:	
	Of television apparatus:	
	"Other, comprising printed circuit boards and ceramic substrates with components assembled thereon, for color television receivers; subassemblies containing one or more of such boards or substrates, except tuners or convergence assemblies:"	
	Other:	
	"Of radar, radio navigational aid or radio remote control apparatus:"	
	"Parts of television receivers specified in additional U.S. note 9 to this chapter, other than printed circuit assemblies:"	
	"Subassemblies, for color television receivers, containing two or more printed circuit boards or ceramic substrates with components assembled thereon, except tuners or convergence assemblies:"	
	Combinations of parts specified in additional U.S. note 9 to this chapter:	
	"Subassemblies, for color television receivers, containing two or more printed circuit boards or ceramic substrates with components assembled thereon, except tuners or convergence assemblies:"	
	"Other, parts of printed circuit assemblies, including face plates and lock latches:"	
	Of television apparatus:	
	Other parts of articles of headings 8525 and 8527:	
	Of television apparatus:	
	For television cameras:	
	Other:	
	Of television receivers:	
	"Subassemblies, for color television receivers, containing two or more printed circuit boards or ceramic substrates with components assembled thereon, except tuners or convergence assemblies:"	
	"Of radar, radio navigational aid or radio remote control apparatus:"	
	Smoke detectors:	
	Other:	
	Indicator panels:	
	Printed circuit assemblies:	
	Other:	
	Other fixed capacitors:	
	Other:	
	Other:	
	Other:	
	Alternating current (AC) service:	
	Other:	
	Leadless:	
	Designed for surface mounting (SMD) by contact:	
	Other:	
	Other fixed resistors:	
	Designed for surface mounting (SMD) by contact:	
	Having more than two terminals (resistor networks):	
	Having two terminals:	
	Having more than two leads (resistor networks):	
	Other:	
	"Wirewound variable resistors, including rheostats and potentiometers:"	
	Other:	
	"Plastics impregnated, not flexible type:"	
	Having a base wholly of impregnated glass:	
	Other:	
	Automatic circuit breakers:	
	Relays:	
	Other:	
	With contacts rated at less than 10 A:	
	Other:	
	Other:	
	With contacts rated at less than 10 A:	
	Other:	
	Other:	
	Other:	
	Rotary:	
	Push-button:	
	Rated at not over 5 A	
	"Lamp-holders, plugs and sockets:"	
	Other:	
	Other:	
	Printed circuit assemblies:	
	Other:	
	Other:	
	Under <il>15.24 cm:</il>	
	<il>15.24 cm</il> or over:	
	"Other filament lamps, excluding ultraviolet or infrared lamps:"	
	Of a power not exceeding <il>150 W</il>:	
	"Other, including standard household:"	
	Designed for a voltage not exceeding <il>100 V:</il>	
	Other:	
	"Discharge lamps, other than ultraviolet lamps:"	
	Other:	
	Ultraviolet or infrared lamps; arc lamps:	
	Light-emitting diode (LED) light sources:	
	"Cathode-ray television picture tubes, including video monitor cathode-ray tubes:"	
	Having a video display diagonal:	
	"Non-high definition, non-projection, having a video display diagonal not exceeding <il>35.56 cm</il>:"	
	"High definition, having a video display diagonal not exceeding <il>35.56 cm</il>:"	
	Television picture tubes having a straight line dimension across the faceplate greater than 29 cm but having no straight line dimension across the faceplate that exceeds 42 cm:	
	Other:	
	Having a video display diagonal:	
	"Microwave tubes (for example, magnetrons, klystrons, traveling wave tubes, carcinotrons), excluding grid-controlled tubes:"	
	Other tubes:	
	Parts:	
	Other:	
	Other:	
	"Transistors, other than photosensitive transistors:"	
	Other:	
	Other:	
	"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED):"	
	Other:	
	Other semiconductor devices:	
	Quartz designed for operating frequencies of:	
	Electronic integrated circuits:	
	Controllers (including microcontrollers):	
	Processors (including microprocessors):	
	Programmable logic devices (PLDs):	
	Dynamic read-write random access (DRAM):	
	Data converters:	
	Electric synchros and transducers; flight data recorders; defrosters and demisters with electric resistors for aircraft:	
	Other:	
	Other:	
	"Assemblies and subassemblies for flight data recorders, consisting of two or more parts or pieces fastened or joined together:"	
	Other:	
	Printed circuit assemblies:	
	Other:	
	Winding wire:	
	"Other electric conductors, for a voltage not exceeding <il>1,000 V</il>:"	
	Other:	
	For a voltage not exceeding 80 V:	
	Other:	
	Other:	
	Electrodes:	
	Graphite:	
	"Used in high-voltage, low-frequency electrical systems:"	
	"Electrical conduit tubing and joints therefor, of base metal lined with insulating material:"	
	Joints:	
	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators:"	
	Of a kind used principally for the recovery of precious metal:	
	Other electrical and electronic assemblies and printed circuit boards:	
	Other:	
	Other:	
	"Truck assemblies, axles and wheels, and parts thereof:"	
	Axles and parts thereof:	
	"Wheels and parts thereof, and any of such wheels or parts imported with axles fitted in them:"	
	Brakes and parts thereof:	
	Other:	
	Road tractors for semi-trailers:	
	New:	
	New:	
	New:	
	New:	
	New:	
	New:	
	New:	
	"Other, of an engine power:"	
	"Other vehicles, with only spark-ignition internal combustion piston engines:"	
	Three or four wheel off-road vehicles with straddle seat and handlebar control:	
	Other:	
	New:	
	Having engines with not more than 4 cylinders:	
	Station wagons and passenger vans:	
	Other:	
	New:	
	"Other vehicles, with only compression-ignition internal combustion piston engine (diesel or semi-diesel):"	
	Other:	
	"Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc:"	
	Other:	
	New:	
	"Of a cylinder capacity exceeding 3,000 cc:"	
	Other:	
	New:	
	"Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"	
	"Of a cylinder capacity exceeding 2,500 cc:"	
	Other:	
	"Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc:"	
	Other:	
	New:	
	"Of a cylinder capacity exceeding 3,000 cc:"	
	Other:	
	New:	
	"Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc:"	
	"Of a cylinder capacity exceeding 2,500 cc"	
	Other:	
	With an EPA-rated range not exceeding 250 miles:	
	With an EPA-rated range exceeding 250 miles:	
	Rear dump:	
	"Other, with only compression-ignition internal combustion piston engine (diesel or semi-diesel):"	
	"Other, with only spark-ignition internal combustion piston engine:"	
	"Other, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion:"	
	"Other, with both spark-ignition internal combustion piston engine and electric motor as motors for propulsion:"	
	"For vehicles of subheading 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29 or heading 8702 or 8704:"	
	For other vehicles:	
	Stampings:	
	Other parts and accessories of bodies (including cabs):	
	Body stampings:	
	Gear boxes:	
	Parts:	
	Other:	
	"Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles:"	
	For tractors (except road tractors):	
	For other vehicles:	
	Parts:	
	For tractors (except road tractors):	
	For vehicles of heading 8703:	
	Other:	
	Other:	
	For other vehicles:	
	Other:	
	Other:	
	For tractors (except road tractors):	
	For tractors suitable for agricultural use:	
	For other tractors:	
	For other vehicles:	
	Other:	
	Of aluminum:	
	Suspension systems (including shock absorbers):	
	For tractors suitable for agricultural use:	
	For other vehicles:	
	Parts:	
	Other:	
	Other parts and accessories:	
	Radiators:	
	Parts:	
